Date,Type of Loan,Loan Value $B
1/3/03,Investor (ex. refinancing) ($b),4.638
1/3/03,Owner occupier (ex. refinancing) ($b),6.927
1/4/03,Investor (ex. refinancing) ($b),4.773
1/4/03,Owner occupier (ex. refinancing) ($b),7.244
1/5/03,Investor (ex. refinancing) ($b),4.989
1/5/03,Owner occupier (ex. refinancing) ($b),7.363
1/6/03,Investor (ex. refinancing) ($b),5.005
1/6/03,Owner occupier (ex. refinancing) ($b),7.617
1/7/03,Investor (ex. refinancing) ($b),5.764
1/7/03,Owner occupier (ex. refinancing) ($b),7.807
1/8/03,Investor (ex. refinancing) ($b),6.269
1/8/03,Owner occupier (ex. refinancing) ($b),7.985
1/9/03,Investor (ex. refinancing) ($b),6.208
1/9/03,Owner occupier (ex. refinancing) ($b),8.02
1/10/03,Investor (ex. refinancing) ($b),6.388
1/10/03,Owner occupier (ex. refinancing) ($b),8.048
1/11/03,Investor (ex. refinancing) ($b),6.135
1/11/03,Owner occupier (ex. refinancing) ($b),7.857
1/12/03,Investor (ex. refinancing) ($b),5.839
1/12/03,Owner occupier (ex. refinancing) ($b),7.459
1/1/04,Investor (ex. refinancing) ($b),5.287
1/1/04,Owner occupier (ex. refinancing) ($b),6.998
1/2/04,Investor (ex. refinancing) ($b),5.247
1/2/04,Owner occupier (ex. refinancing) ($b),7.072
1/3/04,Investor (ex. refinancing) ($b),5.282
1/3/04,Owner occupier (ex. refinancing) ($b),7.171
1/4/04,Investor (ex. refinancing) ($b),5.246
1/4/04,Owner occupier (ex. refinancing) ($b),7.241
1/5/04,Investor (ex. refinancing) ($b),5.076
1/5/04,Owner occupier (ex. refinancing) ($b),7.271
1/6/04,Investor (ex. refinancing) ($b),4.545
1/6/04,Owner occupier (ex. refinancing) ($b),7.256
1/7/04,Investor (ex. refinancing) ($b),4.696
1/7/04,Owner occupier (ex. refinancing) ($b),7.32
1/8/04,Investor (ex. refinancing) ($b),4.655
1/8/04,Owner occupier (ex. refinancing) ($b),7.397
1/9/04,Investor (ex. refinancing) ($b),4.798
1/9/04,Owner occupier (ex. refinancing) ($b),7.42
1/10/04,Investor (ex. refinancing) ($b),4.542
1/10/04,Owner occupier (ex. refinancing) ($b),7.429
1/11/04,Investor (ex. refinancing) ($b),4.878
1/11/04,Owner occupier (ex. refinancing) ($b),7.682
1/12/04,Investor (ex. refinancing) ($b),5.012
1/12/04,Owner occupier (ex. refinancing) ($b),7.902
1/1/05,Investor (ex. refinancing) ($b),5.127
1/1/05,Owner occupier (ex. refinancing) ($b),8.107
1/2/05,Investor (ex. refinancing) ($b),5.335
1/2/05,Owner occupier (ex. refinancing) ($b),8.492
1/3/05,Investor (ex. refinancing) ($b),5.287
1/3/05,Owner occupier (ex. refinancing) ($b),8.234
1/4/05,Investor (ex. refinancing) ($b),5.162
1/4/05,Owner occupier (ex. refinancing) ($b),8.147
1/5/05,Investor (ex. refinancing) ($b),4.703
1/5/05,Owner occupier (ex. refinancing) ($b),7.977
1/6/05,Investor (ex. refinancing) ($b),4.534
1/6/05,Owner occupier (ex. refinancing) ($b),8.155
1/7/05,Investor (ex. refinancing) ($b),4.747
1/7/05,Owner occupier (ex. refinancing) ($b),8.079
1/8/05,Investor (ex. refinancing) ($b),4.592
1/8/05,Owner occupier (ex. refinancing) ($b),8.279
1/9/05,Investor (ex. refinancing) ($b),4.884
1/9/05,Owner occupier (ex. refinancing) ($b),8.635
1/10/05,Investor (ex. refinancing) ($b),5.301
1/10/05,Owner occupier (ex. refinancing) ($b),8.733
1/11/05,Investor (ex. refinancing) ($b),5.202
1/11/05,Owner occupier (ex. refinancing) ($b),8.857
1/12/05,Investor (ex. refinancing) ($b),5.155
1/12/05,Owner occupier (ex. refinancing) ($b),8.902
1/1/06,Investor (ex. refinancing) ($b),5.313
1/1/06,Owner occupier (ex. refinancing) ($b),8.965
1/2/06,Investor (ex. refinancing) ($b),5.248
1/2/06,Owner occupier (ex. refinancing) ($b),9.177
1/3/06,Investor (ex. refinancing) ($b),5.28
1/3/06,Owner occupier (ex. refinancing) ($b),9.299
1/4/06,Investor (ex. refinancing) ($b),5.25
1/4/06,Owner occupier (ex. refinancing) ($b),9.259
1/5/06,Investor (ex. refinancing) ($b),5.762
1/5/06,Owner occupier (ex. refinancing) ($b),9.642
1/6/06,Investor (ex. refinancing) ($b),6.031
1/6/06,Owner occupier (ex. refinancing) ($b),9.513
1/7/06,Investor (ex. refinancing) ($b),5.487
1/7/06,Owner occupier (ex. refinancing) ($b),9.769
1/8/06,Investor (ex. refinancing) ($b),5.521
1/8/06,Owner occupier (ex. refinancing) ($b),9.519
1/9/06,Investor (ex. refinancing) ($b),4.988
1/9/06,Owner occupier (ex. refinancing) ($b),9.177
1/10/06,Investor (ex. refinancing) ($b),5.036
1/10/06,Owner occupier (ex. refinancing) ($b),9.292
1/11/06,Investor (ex. refinancing) ($b),4.972
1/11/06,Owner occupier (ex. refinancing) ($b),9.228
1/12/06,Investor (ex. refinancing) ($b),5.181
1/12/06,Owner occupier (ex. refinancing) ($b),9.429
1/1/07,Investor (ex. refinancing) ($b),5.384
1/1/07,Owner occupier (ex. refinancing) ($b),9.544
1/2/07,Investor (ex. refinancing) ($b),5.633
1/2/07,Owner occupier (ex. refinancing) ($b),9.766
1/3/07,Investor (ex. refinancing) ($b),5.829
1/3/07,Owner occupier (ex. refinancing) ($b),10.068
1/4/07,Investor (ex. refinancing) ($b),6.041
1/4/07,Owner occupier (ex. refinancing) ($b),10.323
1/5/07,Investor (ex. refinancing) ($b),6.404
1/5/07,Owner occupier (ex. refinancing) ($b),10.648
1/6/07,Investor (ex. refinancing) ($b),6.947
1/6/07,Owner occupier (ex. refinancing) ($b),11.355
1/7/07,Investor (ex. refinancing) ($b),6.638
1/7/07,Owner occupier (ex. refinancing) ($b),10.769
1/8/07,Investor (ex. refinancing) ($b),6.381
1/8/07,Owner occupier (ex. refinancing) ($b),11.019
1/9/07,Investor (ex. refinancing) ($b),6.314
1/9/07,Owner occupier (ex. refinancing) ($b),10.515
1/10/07,Investor (ex. refinancing) ($b),6.077
1/10/07,Owner occupier (ex. refinancing) ($b),10.739
1/11/07,Investor (ex. refinancing) ($b),6.332
1/11/07,Owner occupier (ex. refinancing) ($b),10.653
1/12/07,Investor (ex. refinancing) ($b),6.187
1/12/07,Owner occupier (ex. refinancing) ($b),10.371
1/1/08,Investor (ex. refinancing) ($b),6.092
1/1/08,Owner occupier (ex. refinancing) ($b),10.805
1/2/08,Investor (ex. refinancing) ($b),5.777
1/2/08,Owner occupier (ex. refinancing) ($b),9.88
1/3/08,Investor (ex. refinancing) ($b),5.413
1/3/08,Owner occupier (ex. refinancing) ($b),9.138
1/4/08,Investor (ex. refinancing) ($b),5.159
1/4/08,Owner occupier (ex. refinancing) ($b),8.745
1/5/08,Investor (ex. refinancing) ($b),4.791
1/5/08,Owner occupier (ex. refinancing) ($b),8.168
1/6/08,Investor (ex. refinancing) ($b),4.764
1/6/08,Owner occupier (ex. refinancing) ($b),8.2
1/7/08,Investor (ex. refinancing) ($b),4.649
1/7/08,Owner occupier (ex. refinancing) ($b),8.137
1/8/08,Investor (ex. refinancing) ($b),4.664
1/8/08,Owner occupier (ex. refinancing) ($b),7.979
1/9/08,Investor (ex. refinancing) ($b),4.742
1/9/08,Owner occupier (ex. refinancing) ($b),8.235
1/10/08,Investor (ex. refinancing) ($b),4.808
1/10/08,Owner occupier (ex. refinancing) ($b),8.54
1/11/08,Investor (ex. refinancing) ($b),4.492
1/11/08,Owner occupier (ex. refinancing) ($b),8.605
1/12/08,Investor (ex. refinancing) ($b),4.549
1/12/08,Owner occupier (ex. refinancing) ($b),9.336
1/1/09,Investor (ex. refinancing) ($b),4.66
1/1/09,Owner occupier (ex. refinancing) ($b),10.233
1/2/09,Investor (ex. refinancing) ($b),4.584
1/2/09,Owner occupier (ex. refinancing) ($b),10.784
1/3/09,Investor (ex. refinancing) ($b),4.749
1/3/09,Owner occupier (ex. refinancing) ($b),11.96
1/4/09,Investor (ex. refinancing) ($b),5.083
1/4/09,Owner occupier (ex. refinancing) ($b),11.957
1/5/09,Investor (ex. refinancing) ($b),5.027
1/5/09,Owner occupier (ex. refinancing) ($b),11.822
1/6/09,Investor (ex. refinancing) ($b),5.248
1/6/09,Owner occupier (ex. refinancing) ($b),11.961
1/7/09,Investor (ex. refinancing) ($b),5.44
1/7/09,Owner occupier (ex. refinancing) ($b),11.731
1/8/09,Investor (ex. refinancing) ($b),5.708
1/8/09,Owner occupier (ex. refinancing) ($b),11.644
1/9/09,Investor (ex. refinancing) ($b),5.705
1/9/09,Owner occupier (ex. refinancing) ($b),12.175
1/10/09,Investor (ex. refinancing) ($b),5.793
1/10/09,Owner occupier (ex. refinancing) ($b),11.82
1/11/09,Investor (ex. refinancing) ($b),5.987
1/11/09,Owner occupier (ex. refinancing) ($b),11.091
1/12/09,Investor (ex. refinancing) ($b),5.883
1/12/09,Owner occupier (ex. refinancing) ($b),10.615
1/1/10,Investor (ex. refinancing) ($b),5.834
1/1/10,Owner occupier (ex. refinancing) ($b),10.124
1/2/10,Investor (ex. refinancing) ($b),5.876
1/2/10,Owner occupier (ex. refinancing) ($b),9.796
1/3/10,Investor (ex. refinancing) ($b),5.947
1/3/10,Owner occupier (ex. refinancing) ($b),9.572
1/4/10,Investor (ex. refinancing) ($b),5.897
1/4/10,Owner occupier (ex. refinancing) ($b),9.358
1/5/10,Investor (ex. refinancing) ($b),5.991
1/5/10,Owner occupier (ex. refinancing) ($b),9.434
1/6/10,Investor (ex. refinancing) ($b),5.987
1/6/10,Owner occupier (ex. refinancing) ($b),9.131
1/7/10,Investor (ex. refinancing) ($b),5.756
1/7/10,Owner occupier (ex. refinancing) ($b),9.293
1/8/10,Investor (ex. refinancing) ($b),5.401
1/8/10,Owner occupier (ex. refinancing) ($b),9.233
1/9/10,Investor (ex. refinancing) ($b),5.472
1/9/10,Owner occupier (ex. refinancing) ($b),9.138
1/10/10,Investor (ex. refinancing) ($b),5.487
1/10/10,Owner occupier (ex. refinancing) ($b),9.177
1/11/10,Investor (ex. refinancing) ($b),5.39
1/11/10,Owner occupier (ex. refinancing) ($b),9.323
1/12/10,Investor (ex. refinancing) ($b),5.575
1/12/10,Owner occupier (ex. refinancing) ($b),9.424
1/1/11,Investor (ex. refinancing) ($b),5.145
1/1/11,Owner occupier (ex. refinancing) ($b),9.019
1/2/11,Investor (ex. refinancing) ($b),5.193
1/2/11,Owner occupier (ex. refinancing) ($b),8.875
1/3/11,Investor (ex. refinancing) ($b),4.796
1/3/11,Owner occupier (ex. refinancing) ($b),8.825
1/4/11,Investor (ex. refinancing) ($b),4.991
1/4/11,Owner occupier (ex. refinancing) ($b),9.007
1/5/11,Investor (ex. refinancing) ($b),5.155
1/5/11,Owner occupier (ex. refinancing) ($b),9.079
1/6/11,Investor (ex. refinancing) ($b),5.037
1/6/11,Owner occupier (ex. refinancing) ($b),9.096
1/7/11,Investor (ex. refinancing) ($b),5.052
1/7/11,Owner occupier (ex. refinancing) ($b),9.038
1/8/11,Investor (ex. refinancing) ($b),5.13
1/8/11,Owner occupier (ex. refinancing) ($b),9.029
1/9/11,Investor (ex. refinancing) ($b),5.139
1/9/11,Owner occupier (ex. refinancing) ($b),8.782
1/10/11,Investor (ex. refinancing) ($b),4.997
1/10/11,Owner occupier (ex. refinancing) ($b),8.868
1/11/11,Investor (ex. refinancing) ($b),5.078
1/11/11,Owner occupier (ex. refinancing) ($b),8.981
1/12/11,Investor (ex. refinancing) ($b),5.325
1/12/11,Owner occupier (ex. refinancing) ($b),9.401
1/1/12,Investor (ex. refinancing) ($b),5.376
1/1/12,Owner occupier (ex. refinancing) ($b),9.396
1/2/12,Investor (ex. refinancing) ($b),5.401
1/2/12,Owner occupier (ex. refinancing) ($b),8.679
1/3/12,Investor (ex. refinancing) ($b),5.39
1/3/12,Owner occupier (ex. refinancing) ($b),8.704
1/4/12,Investor (ex. refinancing) ($b),5.42
1/4/12,Owner occupier (ex. refinancing) ($b),8.925
1/5/12,Investor (ex. refinancing) ($b),5.4
1/5/12,Owner occupier (ex. refinancing) ($b),9.104
1/6/12,Investor (ex. refinancing) ($b),5.487
1/6/12,Owner occupier (ex. refinancing) ($b),9.249
1/7/12,Investor (ex. refinancing) ($b),5.497
1/7/12,Owner occupier (ex. refinancing) ($b),9.272
1/8/12,Investor (ex. refinancing) ($b),5.432
1/8/12,Owner occupier (ex. refinancing) ($b),9.426
1/9/12,Investor (ex. refinancing) ($b),5.604
1/9/12,Owner occupier (ex. refinancing) ($b),9.493
1/10/12,Investor (ex. refinancing) ($b),5.516
1/10/12,Owner occupier (ex. refinancing) ($b),9.379
1/11/12,Investor (ex. refinancing) ($b),5.753
1/11/12,Owner occupier (ex. refinancing) ($b),9.459
1/12/12,Investor (ex. refinancing) ($b),5.842
1/12/12,Owner occupier (ex. refinancing) ($b),9.532
1/1/13,Investor (ex. refinancing) ($b),6.103
1/1/13,Owner occupier (ex. refinancing) ($b),9.804
1/2/13,Investor (ex. refinancing) ($b),6.267
1/2/13,Owner occupier (ex. refinancing) ($b),9.883
1/3/13,Investor (ex. refinancing) ($b),6.534
1/3/13,Owner occupier (ex. refinancing) ($b),10.344
1/4/13,Investor (ex. refinancing) ($b),6.639
1/4/13,Owner occupier (ex. refinancing) ($b),10.302
1/5/13,Investor (ex. refinancing) ($b),6.8
1/5/13,Owner occupier (ex. refinancing) ($b),10.406
1/6/13,Investor (ex. refinancing) ($b),6.825
1/6/13,Owner occupier (ex. refinancing) ($b),10.487
1/7/13,Investor (ex. refinancing) ($b),6.952
1/7/13,Owner occupier (ex. refinancing) ($b),10.496
1/8/13,Investor (ex. refinancing) ($b),7.124
1/8/13,Owner occupier (ex. refinancing) ($b),10.234
1/9/13,Investor (ex. refinancing) ($b),7.438
1/9/13,Owner occupier (ex. refinancing) ($b),10.74
1/10/13,Investor (ex. refinancing) ($b),7.798
1/10/13,Owner occupier (ex. refinancing) ($b),10.893
1/11/13,Investor (ex. refinancing) ($b),8.047
1/11/13,Owner occupier (ex. refinancing) ($b),11.235
1/12/13,Investor (ex. refinancing) ($b),8.057
1/12/13,Owner occupier (ex. refinancing) ($b),10.948
1/1/14,Investor (ex. refinancing) ($b),7.989
1/1/14,Owner occupier (ex. refinancing) ($b),11.171
1/2/14,Investor (ex. refinancing) ($b),7.946
1/2/14,Owner occupier (ex. refinancing) ($b),11.458
1/3/14,Investor (ex. refinancing) ($b),8.1
1/3/14,Owner occupier (ex. refinancing) ($b),11.387
1/4/14,Investor (ex. refinancing) ($b),8.28
1/4/14,Owner occupier (ex. refinancing) ($b),11.325
1/5/14,Investor (ex. refinancing) ($b),8.264
1/5/14,Owner occupier (ex. refinancing) ($b),11.207
1/6/14,Investor (ex. refinancing) ($b),8.24
1/6/14,Owner occupier (ex. refinancing) ($b),11.379
1/7/14,Investor (ex. refinancing) ($b),8.531
1/7/14,Owner occupier (ex. refinancing) ($b),11.277
1/8/14,Investor (ex. refinancing) ($b),8.651
1/8/14,Owner occupier (ex. refinancing) ($b),10.954
1/9/14,Investor (ex. refinancing) ($b),8.883
1/9/14,Owner occupier (ex. refinancing) ($b),11.095
1/10/14,Investor (ex. refinancing) ($b),9.154
1/10/14,Owner occupier (ex. refinancing) ($b),11.39
1/11/14,Investor (ex. refinancing) ($b),9.108
1/11/14,Owner occupier (ex. refinancing) ($b),11.044
1/12/14,Investor (ex. refinancing) ($b),9.098
1/12/14,Owner occupier (ex. refinancing) ($b),11.362
1/1/15,Investor (ex. refinancing) ($b),9.176
1/1/15,Owner occupier (ex. refinancing) ($b),11.573
1/2/15,Investor (ex. refinancing) ($b),8.863
1/2/15,Owner occupier (ex. refinancing) ($b),11.304
1/3/15,Investor (ex. refinancing) ($b),9.532
1/3/15,Owner occupier (ex. refinancing) ($b),11.732
1/4/15,Investor (ex. refinancing) ($b),10.055
1/4/15,Owner occupier (ex. refinancing) ($b),11.834
1/5/15,Investor (ex. refinancing) ($b),9.152
1/5/15,Owner occupier (ex. refinancing) ($b),11.083
1/6/15,Investor (ex. refinancing) ($b),9.133
1/6/15,Owner occupier (ex. refinancing) ($b),11.962
1/7/15,Investor (ex. refinancing) ($b),8.81
1/7/15,Owner occupier (ex. refinancing) ($b),12.258
1/8/15,Investor (ex. refinancing) ($b),8.478
1/8/15,Owner occupier (ex. refinancing) ($b),13.222
1/9/15,Investor (ex. refinancing) ($b),7.384
1/9/15,Owner occupier (ex. refinancing) ($b),13.531
1/10/15,Investor (ex. refinancing) ($b),6.876
1/10/15,Owner occupier (ex. refinancing) ($b),13.127
1/11/15,Investor (ex. refinancing) ($b),6.672
1/11/15,Owner occupier (ex. refinancing) ($b),13.066
1/12/15,Investor (ex. refinancing) ($b),6.718
1/12/15,Owner occupier (ex. refinancing) ($b),12.958
1/1/16,Investor (ex. refinancing) ($b),6.606
1/1/16,Owner occupier (ex. refinancing) ($b),12.552
1/2/16,Investor (ex. refinancing) ($b),6.663
1/2/16,Owner occupier (ex. refinancing) ($b),12.699
1/3/16,Investor (ex. refinancing) ($b),6.661
1/3/16,Owner occupier (ex. refinancing) ($b),12.489
1/4/16,Investor (ex. refinancing) ($b),6.873
1/4/16,Owner occupier (ex. refinancing) ($b),12.759
1/5/16,Investor (ex. refinancing) ($b),7.198
1/5/16,Owner occupier (ex. refinancing) ($b),12.694
1/6/16,Investor (ex. refinancing) ($b),7.489
1/6/16,Owner occupier (ex. refinancing) ($b),12.684
1/7/16,Investor (ex. refinancing) ($b),7.601
1/7/16,Owner occupier (ex. refinancing) ($b),12.384
1/8/16,Investor (ex. refinancing) ($b),7.56
1/8/16,Owner occupier (ex. refinancing) ($b),12.243
1/9/16,Investor (ex. refinancing) ($b),8.304
1/9/16,Owner occupier (ex. refinancing) ($b),12.425
1/10/16,Investor (ex. refinancing) ($b),8.59
1/10/16,Owner occupier (ex. refinancing) ($b),12.577
1/11/16,Investor (ex. refinancing) ($b),8.84
1/11/16,Owner occupier (ex. refinancing) ($b),12.763
1/12/16,Investor (ex. refinancing) ($b),8.952
1/12/16,Owner occupier (ex. refinancing) ($b),13.162
1/1/17,Investor (ex. refinancing) ($b),9.066
1/1/17,Owner occupier (ex. refinancing) ($b),13.305
1/2/17,Investor (ex. refinancing) ($b),8.617
1/2/17,Owner occupier (ex. refinancing) ($b),13.191
1/3/17,Investor (ex. refinancing) ($b),8.869
1/3/17,Owner occupier (ex. refinancing) ($b),13.776
1/4/17,Investor (ex. refinancing) ($b),8.643
1/4/17,Owner occupier (ex. refinancing) ($b),13.572
1/5/17,Investor (ex. refinancing) ($b),8.342
1/5/17,Owner occupier (ex. refinancing) ($b),13.954
1/6/17,Investor (ex. refinancing) ($b),8.091
1/6/17,Owner occupier (ex. refinancing) ($b),13.882
1/7/17,Investor (ex. refinancing) ($b),7.858
1/7/17,Owner occupier (ex. refinancing) ($b),14.212
1/8/17,Investor (ex. refinancing) ($b),7.953
1/8/17,Owner occupier (ex. refinancing) ($b),14.507
1/9/17,Investor (ex. refinancing) ($b),7.769
1/9/17,Owner occupier (ex. refinancing) ($b),14.27
1/10/17,Investor (ex. refinancing) ($b),7.545
1/10/17,Owner occupier (ex. refinancing) ($b),14.014
1/11/17,Investor (ex. refinancing) ($b),7.426
1/11/17,Owner occupier (ex. refinancing) ($b),14.198
1/12/17,Investor (ex. refinancing) ($b),7.176
1/12/17,Owner occupier (ex. refinancing) ($b),14.12
1/1/18,Investor (ex. refinancing) ($b),7.007
1/1/18,Owner occupier (ex. refinancing) ($b),14.296
1/2/18,Investor (ex. refinancing) ($b),7.013
1/2/18,Owner occupier (ex. refinancing) ($b),14.158
1/3/18,Investor (ex. refinancing) ($b),6.588
1/3/18,Owner occupier (ex. refinancing) ($b),13.956
1/4/18,Investor (ex. refinancing) ($b),6.387
1/4/18,Owner occupier (ex. refinancing) ($b),13.821
1/5/18,Investor (ex. refinancing) ($b),6.454
1/5/18,Owner occupier (ex. refinancing) ($b),14.098
1/6/18,Investor (ex. refinancing) ($b),6.242
1/6/18,Owner occupier (ex. refinancing) ($b),13.929
1/7/18,Investor (ex. refinancing) ($b),6.279
1/7/18,Owner occupier (ex. refinancing) ($b),13.896
1/8/18,Investor (ex. refinancing) ($b),6.033
1/8/18,Owner occupier (ex. refinancing) ($b),13.241
1/9/18,Investor (ex. refinancing) ($b),5.836
1/9/18,Owner occupier (ex. refinancing) ($b),12.921
1/10/18,Investor (ex. refinancing) ($b),5.666
1/10/18,Owner occupier (ex. refinancing) ($b),12.984
1/11/18,Investor (ex. refinancing) ($b),5.372
1/11/18,Owner occupier (ex. refinancing) ($b),12.461
1/12/18,Investor (ex. refinancing) ($b),5.185
1/12/18,Owner occupier (ex. refinancing) ($b),11.953
1/1/19,Investor (ex. refinancing) ($b),5.002
1/1/19,Owner occupier (ex. refinancing) ($b),11.903
1/2/19,Investor (ex. refinancing) ($b),4.953
1/2/19,Owner occupier (ex. refinancing) ($b),12.1
1/3/19,Investor (ex. refinancing) ($b),4.803
1/3/19,Owner occupier (ex. refinancing) ($b),11.748
1/4/19,Investor (ex. refinancing) ($b),4.73
1/4/19,Owner occupier (ex. refinancing) ($b),11.825
1/5/19,Investor (ex. refinancing) ($b),4.632
1/5/19,Owner occupier (ex. refinancing) ($b),11.384
1/6/19,Investor (ex. refinancing) ($b),4.702
1/6/19,Owner occupier (ex. refinancing) ($b),11.894
1/7/19,Investor (ex. refinancing) ($b),4.83
1/7/19,Owner occupier (ex. refinancing) ($b),12.095
1/8/19,Investor (ex. refinancing) ($b),5.256
1/8/19,Owner occupier (ex. refinancing) ($b),12.595
1/9/19,Investor (ex. refinancing) ($b),5.063
1/9/19,Owner occupier (ex. refinancing) ($b),12.901
1/10/19,Investor (ex. refinancing) ($b),5.147
1/10/19,Owner occupier (ex. refinancing) ($b),13.255
1/11/19,Investor (ex. refinancing) ($b),5.399
1/11/19,Owner occupier (ex. refinancing) ($b),13.962
1/12/19,Investor (ex. refinancing) ($b),5.472
1/12/19,Owner occupier (ex. refinancing) ($b),14.354
1/1/20,Investor (ex. refinancing) ($b),5.408
1/1/20,Owner occupier (ex. refinancing) ($b),14.473
1/2/20,Investor (ex. refinancing) ($b),5.263
1/2/20,Owner occupier (ex. refinancing) ($b),13.95
1/3/20,Investor (ex. refinancing) ($b),5.063
1/3/20,Owner occupier (ex. refinancing) ($b),14.405
1/4/20,Investor (ex. refinancing) ($b),4.834
1/4/20,Owner occupier (ex. refinancing) ($b),13.496
1/5/20,Investor (ex. refinancing) ($b),4.066
1/5/20,Owner occupier (ex. refinancing) ($b),12.029
1/6/20,Investor (ex. refinancing) ($b),4.41
1/6/20,Owner occupier (ex. refinancing) ($b),12.839
1/7/20,Investor (ex. refinancing) ($b),4.578
1/7/20,Owner occupier (ex. refinancing) ($b),14.248
1/8/20,Investor (ex. refinancing) ($b),5.005
1/8/20,Owner occupier (ex. refinancing) ($b),16.226
1/9/20,Investor (ex. refinancing) ($b),5.276
1/9/20,Owner occupier (ex. refinancing) ($b),17.277
1/10/20,Investor (ex. refinancing) ($b),5.295
1/10/20,Owner occupier (ex. refinancing) ($b),17.401
1/11/20,Investor (ex. refinancing) ($b),5.614
1/11/20,Owner occupier (ex. refinancing) ($b),18.348
1/12/20,Investor (ex. refinancing) ($b),6.074
1/12/20,Owner occupier (ex. refinancing) ($b),19.936
1/1/21,Investor (ex. refinancing) ($b),6.636
1/1/21,Owner occupier (ex. refinancing) ($b),22.102
1/2/21,Investor (ex. refinancing) ($b),6.936
1/2/21,Owner occupier (ex. refinancing) ($b),21.703
1/3/21,Investor (ex. refinancing) ($b),7.814
1/3/21,Owner occupier (ex. refinancing) ($b),22.413
