Month,Purchase of other vehicles and equipment ($b),Household and personal goods ($b),Travel and holidays ($b)
Mar-03,0.028,0.025,0.018
Apr-03,0.028,0.026,0.017
May-03,0.029,0.025,0.019
Jun-03,0.03,0.027,0.02
Jul-03,0.03,0.027,0.019
Aug-03,0.028,0.028,0.02
Sep-03,0.026,0.028,0.018
Oct-03,0.028,0.029,0.02
Nov-03,0.027,0.03,0.021
Dec-03,0.028,0.03,0.019
Jan-04,0.028,0.026,0.036
Feb-04,0.032,0.026,0.033
Mar-04,0.033,0.027,0.033
Apr-04,0.03,0.028,0.038
May-04,0.034,0.026,0.039
Jun-04,0.035,0.028,0.04
Jul-04,0.033,0.029,0.045
Aug-04,0.032,0.028,0.04
Sep-04,0.034,0.029,0.045
Oct-04,0.033,0.03,0.046
Nov-04,0.038,0.03,0.042
Dec-04,0.026,0.033,0.044
Jan-05,0.029,0.029,0.041
Feb-05,0.026,0.03,0.041
Mar-05,0.026,0.03,0.044
Apr-05,0.029,0.029,0.05
May-05,0.028,0.03,0.028
Jun-05,0.023,0.028,0.045
Jul-05,0.029,0.031,0.046
Aug-05,0.028,0.029,0.05
Sep-05,0.031,0.029,0.049
Oct-05,0.027,0.029,0.047
Nov-05,0.03,0.028,0.051
Dec-05,0.029,0.028,0.047
Jan-06,0.029,0.031,0.05
Feb-06,0.029,0.031,0.048
Mar-06,0.03,0.03,0.052
Apr-06,0.028,0.03,0.054
May-06,0.027,0.032,0.058
Jun-06,0.028,0.031,0.047
Jul-06,0.031,0.032,0.057
Aug-06,0.033,0.032,0.063
Sep-06,0.031,0.034,0.063
Oct-06,0.034,0.032,0.07
Nov-06,0.034,0.035,0.07
Dec-06,0.035,0.032,0.065
Jan-07,0.034,0.031,0.062
Feb-07,0.037,0.032,0.06
Mar-07,0.036,0.034,0.063
Apr-07,0.037,0.034,0.033
May-07,0.032,0.035,0.032
Jun-07,0.042,0.043,0.034
Jul-07,0.035,0.033,0.032
Aug-07,0.035,0.034,0.029
Sep-07,0.034,0.033,0.031
Oct-07,0.037,0.035,0.031
Nov-07,0.036,0.036,0.033
Dec-07,0.037,0.034,0.042
Jan-08,0.035,0.037,0.042
Feb-08,0.033,0.036,0.037
Mar-08,0.032,0.036,0.038
Apr-08,0.034,0.035,0.037
May-08,0.033,0.029,0.036
Jun-08,0.031,0.035,0.04
Jul-08,0.031,0.034,0.039
Aug-08,0.031,0.035,0.038
Sep-08,0.034,0.032,0.039
Oct-08,0.029,0.035,0.038
Nov-08,0.026,0.033,0.035
Dec-08,0.027,0.038,0.032
Jan-09,0.029,0.038,0.032
Feb-09,0.03,0.038,0.032
