Month,NSW,Vic,Qld,SA,WA,Tas,NT,ACT
Mar-03,"2,013","1,899","1,961",540,994,172,68,127
Apr-03,"1,886","1,880","1,802",550,979,155,67,117
May-03,"1,887","1,803","1,846",550,"1,036",184,89,99
Jun-03,"1,825","1,770","1,855",526,995,183,64,115
Jul-03,"1,862","1,781","1,849",508,998,189,77,101
Aug-03,"1,906","1,782","1,913",504,997,177,62,87
Sep-03,"1,899","1,817","1,841",500,"1,002",168,65,90
Oct-03,"1,827","1,788","1,743",494,"1,024",156,78,89
Nov-03,"1,745","1,664","1,601",531,"1,029",130,73,85
Dec-03,"1,667","1,633","1,529",576,"1,012",125,69,73
Jan-04,"1,524","1,588","1,407",480,946,124,67,73
Feb-04,"1,479","1,548","1,364",479,916,119,78,66
Mar-04,"1,447","1,550","1,307",475,922,128,91,68
Apr-04,"1,473","1,559","1,383",460,953,118,89,79
May-04,"1,762","1,616","1,445",447,946,118,86,82
Jun-04,"1,818","1,716","1,523",501,811,127,102,70
Jul-04,"1,864","1,955","1,472",482,"1,037",134,100,80
Aug-04,"1,876","1,902","1,481",508,"1,314",128,124,87
Sep-04,"1,792","2,004","1,412",498,"1,334",117,131,95
Oct-04,"1,746","1,959","1,444",446,"1,231",108,124,68
Nov-04,"1,767","2,037","1,557",503,"1,273",124,132,92
Dec-04,"1,892","2,139","1,543",523,"1,246",152,133,110
Jan-05,"1,914","2,255","1,671",549,"1,290",164,131,112
Feb-05,"2,095","2,291","1,678",620,"1,356",151,94,105
Mar-05,"1,906","2,487","1,685",541,"1,339",124,111,103
Apr-05,"1,953","2,550","1,682",578,"1,292",180,128,102
May-05,"1,973","2,697","1,585",565,"1,308",224,120,126
Jun-05,"2,065","2,599","1,736",568,"1,289",158,130,124
Jul-05,"2,116","2,435","1,595",624,"1,238",150,141,127
Aug-05,"2,222","2,527","1,868",619,"1,340",202,196,131
Sep-05,"2,378","2,484","1,982",630,"1,398",190,164,108
Oct-05,"2,346","2,588","2,065",680,"1,369",176,156,123
Nov-05,"2,453","2,679","2,037",615,"1,373",195,154,123
Dec-05,"2,403","2,969","2,022",603,"1,405",167,153,115
Jan-06,"2,262","2,652","2,121",609,"1,473",196,157,119
Feb-06,"2,535","2,615","2,204",592,"1,466",208,163,135
Mar-06,"2,742","2,600","2,357",645,"1,511",223,143,178
Apr-06,"2,877","2,586","2,347",621,"1,471",224,141,138
May-06,"2,664","2,668","2,359",634,"1,281",206,127,144
Jun-06,"2,658","2,609","2,420",646,"1,230",201,168,141
Jul-06,"2,598","2,654","2,465",627,"1,249",188,116,154
Aug-06,"2,513","2,471","2,385",626,"1,112",176,73,174
Sep-06,"2,549","2,568","2,426",677,"1,091",205,86,183
Oct-06,"2,650","2,647","2,371",677,"1,002",176,88,165
Nov-06,"2,618","2,612","2,337",690,959,198,90,181
Dec-06,"2,564","2,579","2,369",636,968,185,97,158
Jan-07,"2,625","2,445","2,418",626,946,147,99,139
Feb-07,"2,602","2,663","2,563",676,950,165,75,170
Mar-07,"2,726","2,624","2,476",730,"1,001",175,108,166
Apr-07,"2,840","2,723","2,649",647,"1,103",178,90,158
May-07,"2,698","2,699","2,552",663,"1,026",182,91,137
Jun-07,"2,740","2,689","2,502",614,"1,324",191,95,167
Jul-07,"2,732","2,657","2,420",630,"1,343",156,70,157
Aug-07,"2,697","2,838","2,530",630,"1,355",168,83,137
Sep-07,"2,526","2,862","2,422",604,"1,252",203,88,138
Oct-07,"2,784","2,895","2,450",646,"1,253",218,81,137
Nov-07,"2,805","2,969","2,462",652,"1,278",209,80,139
Dec-07,"2,761","2,960","2,433",694,"1,298",215,71,152
Jan-08,"2,782","3,055","2,310",665,"1,425",194,73,148
Feb-08,"2,727","2,968","2,117",658,"1,276",250,78,93
Mar-08,"2,396","2,496","1,790",622,"1,192",177,52,125
Apr-08,"2,435","2,351","1,705",640,"1,191",165,63,151
May-08,"2,295","2,256","1,584",589,"1,087",122,89,110
Jun-08,"2,301","2,288","1,468",598,"1,168",182,74,107
Jul-08,"2,325","2,371","1,521",648,"1,214",195,93,109
Aug-08,"2,356","2,275","1,483",623,"1,164",205,79,130
Sep-08,"2,346","2,280","1,641",544,"1,115",175,62,122
Oct-08,"2,205","2,308","1,650",564,"1,118",160,81,156
Nov-08,"2,971","2,554","2,233",762,"1,291",243,103,150
Dec-08,"3,531","2,939","2,570",992,"1,534",290,120,207
Jan-09,"4,052","3,373","2,856","1,019","1,747",325,89,227
Feb-09,"4,646","3,468","3,120","1,070","1,861",366,119,236
Mar-09,"5,188","3,967","3,491","1,080","1,925",360,116,265
Apr-09,"5,078","4,142","3,497","1,175","2,043",240,119,290
May-09,"4,957","4,047","3,576","1,240","2,164",258,108,296
Jun-09,"4,932","4,031","3,405","1,190","2,179",364,113,300
